Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
52,0.6704,1.5604,0.078,-0.1228,0.1286,-0.0577,0.9824
53,0.6687,1.5594,0.0802,-0.1188,0.1282,-0.06,0.9828
54,0.6731,1.5597,0.0829,-0.1152,0.1262,-0.0586,0.9835
55,0.6822,1.5628,0.0872,-0.1196,0.1198,-0.0576,0.9839
56,0.6937,1.5659,0.0905,-0.1173,0.1124,-0.0596,0.9849
57,0.7046,1.5677,0.0924,-0.1219,0.1079,-0.06,0.9848
58,0.7178,1.5681,0.0951,-0.123,0.1037,-0.0632,0.985
59,0.7277,1.5667,0.0975,-0.1186,0.1019,-0.0643,0.9856
60,0.7359,1.5671,0.0997,-0.1149,0.0999,-0.0628,0.9863
61,0.7421,1.5647,0.1023,-0.1063,0.0996,-0.0624,0.9874
62,0.7469,1.558,0.1058,-0.0772,0.0964,-0.061,0.9905
63,0.7482,1.5515,0.1094,-0.049,0.0897,-0.0586,0.993
64,0.7477,1.5468,0.1131,-0.0293,0.0791,-0.0557,0.9949
65,0.7462,1.5452,0.1154,-0.0211,0.0695,-0.0538,0.9959
66,0.7441,1.5456,0.1165,-0.0227,0.0615,-0.0519,0.9965
67,0.7422,1.5459,0.1158,-0.0237,0.0576,-0.0504,0.9968
68,0.739,1.5456,0.1149,-0.0223,0.0534,-0.05,0.9971
69,0.7358,1.5446,0.1147,-0.0169,0.0474,-0.0491,0.9975
70,0.7303,1.5428,0.1145,-0.0085,0.0369,-0.0461,0.9982
71,0.7253,1.5417,0.1144,-0.0026,0.0267,-0.0438,0.9987
72,0.7187,1.5409,0.1139,0.0027,0.013,-0.0421,0.999
73,0.7122,1.5399,0.1132,0.0075,-0.0002,-0.0405,0.9992
74,0.7068,1.5388,0.1127,0.0142,-0.012,-0.0378,0.9991
75,0.7006,1.5385,0.1124,0.0169,-0.0248,-0.0355,0.9989
76,0.6966,1.5386,0.1126,0.0174,-0.0323,-0.0349,0.9987
77,0.6936,1.5369,0.1124,0.0252,-0.0378,-0.0325,0.9984
